candidate_id,request_id,arm,source,global_order,arm_order,split,state,actual_native_start_confirmed,solver_start_order,solver_started_utc,cadence_elapsed_seconds,cadence_active_worker_elapsed_seconds_sum,gds_audit_elapsed_seconds,calibre_elapsed_seconds,emx_native_wallclock_seconds,emx_reported_cpu_seconds,solver_wrapper_interval_seconds,user_cpu_seconds,system_cpu_seconds,candidate_allocated_bytes,full_pipeline_total_seconds
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-001,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-001,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,1,1,train,STRICT_VALID,True,1,2026-09-11T08:21:47.380000+00:00,6.369834458921105,6.364434557966888,,,75.68,153.89,76.183162,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-021-q10,eucap15_controlled_budget_20260910_v1-SPARSE-021,COVERAGE_DIRECTED,SPARSE_TARGETED,2,1,validation,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-015-q10,eucap15_controlled_budget_20260910_v1-SPARSE-015,COVERAGE_DIRECTED,SPARSE_TARGETED,3,2,test,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-007,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-007,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,4,2,train,STRICT_VALID,True,2,2026-09-11T08:27:21.530000+00:00,6.877255097962916,6.8698810511268675,,,62.63,125.29,63.060445,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-005,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-005,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,5,3,train,EMX_INVALID,True,3,2026-09-11T08:32:41.920000+00:00,6.340432664845139,6.334908980876207,,,70.88,144.37,71.313371,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-011-q13,eucap15_controlled_budget_20260910_v1-SPARSE-011,COVERAGE_DIRECTED,SPARSE_TARGETED,6,3,train,EMX_INVALID,True,4,2026-09-11T08:38:12.540000+00:00,8.060003081802279,8.054033445194364,,,67.91,136.85,68.339829,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-018-q10,eucap15_controlled_budget_20260910_v1-SPARSE-018,COVERAGE_DIRECTED,SPARSE_TARGETED,7,4,validation,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-004,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-004,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,8,4,train,STRICT_VALID,True,5,2026-09-11T08:43:38.720000+00:00,6.127717570867389,6.122550076339394,,,74.03,148.07,74.506673,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-020-q14,eucap15_controlled_budget_20260910_v1-SPARSE-020,COVERAGE_DIRECTED,SPARSE_TARGETED,9,5,train,PRE_NATIVE_FAILURE_UNCLASSIFIED,False,,,14.042354839388281,14.032444095704705,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-009,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-009,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,10,5,train,STRICT_VALID,True,6,2026-09-11T08:50:38.350000+00:00,11.751767021138221,11.74307550303638,,,77.97,158.58,78.42139,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-009-q11,eucap15_controlled_budget_20260910_v1-SPARSE-009,COVERAGE_DIRECTED,SPARSE_TARGETED,11,6,train,EMX_INVALID,True,7,2026-09-11T08:56:16.580000+00:00,8.534478079993278,8.526995670050383,,,61.01,122.93,61.471975,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-016,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-016,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,12,6,train,PRE_NATIVE_FAILURE_UNCLASSIFIED,False,,,6.835593798197806,6.830033340025693,,,,,,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-021,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-021,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,13,7,train,ANALYTIC_FAIL,False,,,,,,,,,,,,,
eucap15_controlled_budget_20260910_v1-SPARSE-013-q13,eucap15_controlled_budget_20260910_v1-SPARSE-013,COVERAGE_DIRECTED,SPARSE_TARGETED,14,7,train,EMX_INVALID,True,8,2026-09-11T09:02:44.830000+00:00,6.0256239217706025,6.019376928918064,,,46.24,91.77,46.692146,,,,
eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-031,eucap15_controlled_budget_20260910_v1-GEOMETRY_DOE-031,GEOMETRY_DOE_CONTROL,GEOMETRY_DOE,15,8,test,EMX_INVALID,True,9,2026-09-11T09:07:50.840000+00:00,7.619112572167069,7.611886024940759,,,69.54,140.07,69.962775,,,,
eucap15_controlled_budget_20260910_v1-EXPLORATION-003,eucap15_controlled_budget_20260910_v1-EXPLORATION-003,COVERAGE_DIRECTED,EXPLORATION,16,8,train,EMX_INVALID,True,10,2026-09-11T09:13:17.870000+00:00,6.016793728806078,6.011839211918414,,,66.7,134.8,67.217835,,,,
