frequency_ghz,formal_source_geometries,formal_strict,formal_train,formal_validation,formal_test,forward_updates,inverse_updates,training_status,load_resume,test_status,formal_model_id,formal_package_sha256,random_proxy_requests,random_proxy_logical_candidates,training_and_proxy_figures,formal_package_index_bytes,physical_model_id,physical_dataset_scope,physical_target_source,physical_label_mode,physical_protocol_sha256,physical_planned_requests,physical_accounted_requests,physical_original_candidates,physical_accounted_candidates,physical_complete_strict11_requests,physical_solved,physical_independent_solves,physical_strict_valid,physical_strict_invalid,physical_planned_analytic_fail,physical_gds_fail,physical_drc_fail,physical_emx_not_solved,physical_pending_candidates,formal_model_fresh_emx,physical_request_stage,prior_physical_figures,prior_new_request_figures,new_s19_physical_figures,training_evidence_sha256,physical_frequency_status_sha256,s19_aggregate_figures,new_s25_physical_figures,new_s31_physical_figures,current_physical_snapshot,current_physical_figures,current_physical_figure_receipt
5,10000,10000,6015,2002,1983,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f05-strict_lumped-8be6556ef6df,0581a5f726381926096c3b0648c932fd086dc5469be649e6735e320f624f5e1f,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153991,f5-fac1f3ff42e4,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,34,34,34,0,0,3,7,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,PASS_ORIGINAL_PNG_PDF_OR_ROOT_APPROVED_CORRECTED_VERSION,NOT_SCOPED_THIS_INCREMENT,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
6,10000,10000,6015,2002,1983,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f06-strict_lumped-3126e7727a64,7861a59dadf035a475eadeffe91a26bd70552c78ec89cdd891595d9941f3a87e,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153987,f6-ba844c981dd6,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,1,35,35,35,0,0,3,6,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
7,10000,10000,6015,2002,1983,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f07-strict_lumped-9a0d049544c7,1994b75e8e9bec24b8c4cc674be2a7d93af06db62b978f984435371f36e2cf47,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153986,f7-d0ffa9b31525,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,35,35,35,0,0,4,5,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
8,10000,9997,6014,2001,1982,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f08-strict_lumped-12afed30cc9f,60d4b65efc18ea03b9c289045d5f568ca45a1139e706bdb8347d7c18a05cdb71,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153989,f8-dc2e68a2a478,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,31,31,31,0,35,5,5,0,144,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
9,10000,9960,5997,1989,1974,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f09-strict_lumped-c37946d8ab54,f3784ee7f755020f09ea97d39ee31deb6eb21b271d0d4f847b655d3f8e85c527,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153990,f9-0cd8cd2dd857,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,2,39,39,39,0,0,2,3,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
10,10000,9851,5933,1965,1953,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f10-strict_lumped-4b6c702f1ca8,59a9f211b6620c9113a5561c9593e7c594948084d69a8dc41ad9333ac9835640,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153987,f10-d26d41688df1,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,1,38,38,38,0,0,5,1,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,PASS_ORIGINAL_PNG_PDF_OR_ROOT_APPROVED_CORRECTED_VERSION,NOT_SCOPED_THIS_INCREMENT,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
11,10000,9606,5793,1908,1905,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f11-strict_lumped-e276e11b219b,b3e58af8bc769689b5947c74b1e737694b6c2b5097255bca620490153535a26f,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153988,f11-07165966aa39,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,39,39,37,2,0,5,0,0,176,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
12,10000,9092,5486,1800,1806,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f12-strict_lumped-578763dee1b1,a628e94dbd60a6922881982343db7d1dfe7c966429fb3f65d07e4063e01a9461,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153989,f12-bbbcad303b3e,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,39,39,39,0,3,4,0,0,174,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
13,10000,8179,4937,1618,1624,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f13-strict_lumped-e09d712f371d,eed3cb08570f95fad3683457644ab6d3c49cea8844ec03120d11ccdd6b0cf9d5,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153989,f13-940260e5c34c,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,0,34,34,34,0,8,8,0,0,170,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
14,10000,6824,4107,1341,1376,12000,12000,PROVISIONAL_PARTIAL,PASS,PASS_SAVED_CSV_RECONCILIATION,f14-strict_lumped-25f03bb0fd48,e887b6a15ddf9c68facc144de8452e0cc32ed31c5dd8c3331476c5a5e9f16779,10000,110000,COMPLETE_PRIOR_SCOPED_QA,153988,f14-734ef171b954,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,4,220,44,2,42,42,42,0,3,1,0,0,174,PARTIAL_FIXED_REQUEST_EVIDENCE,PARTIAL_NOT_ALL_20_REQUESTS_COMPLETE,PASS_REQUEST_PNG_AND_PDF,NO_NEW_REQUEST_PRIOR_QA_REUSED,PASS_EXACT_NEW8_PNG_AND_PDF,964e555a87b93f8f8a431740da6ad36b6b482bd0d65b474f6519463fad3deffa,4584dc701a8ddd620e9251a3c579265b77d1a42fd5c4e7e6c9884bbbc27f5531,PASS_EXACT_FIVE_AGGREGATE_PNG_AND_PDF,PENDING_EXACT_QA,PENDING_EXACT_QA,snapshot_0054,PENDING_EXACT_QA,reports/frequency5to20_20260908T063800Z/physical_incremental_statistics_v1/run_v1/snapshots/snapshot_0054/figures/FIGURES_RECEIPT.json
