frequency_ghz,model_id,dataset_scope,target_source,label_mode,protocol_sha256,N_planned_requests,N_accounted_requests,N_complete_strict11_requests,N_original,N_solved,N_strict_valid,N_invalid,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,joint_hit_fraction_original,joint_hit_fraction_accounted_original,confirmed_joint_hit_coverage_original,joint_hit_fraction_strict,joint_hit_original_ci_status,joint_hit_original_ci_low,joint_hit_original_ci_high,joint_hit_accounted_original_ci_status,joint_hit_accounted_original_ci_low,joint_hit_accounted_original_ci_high,joint_hit_strict_ci_status,joint_hit_strict_ci_low,joint_hit_strict_ci_high
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,0,220,47,40,7,13,0,0,0,160,24,47,47,55,,0.43636363636363634,0.10909090909090909,0.6,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.34545454545454546,0.509090909090909,PROVISIONAL_SMALL_REQUEST_N,0.575,0.6216216216216216
5,f5-fac1f3ff42e4,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,0,220,41,41,0,0,5,9,0,165,11,41,41,55,,0.2,0.05,0.2682926829268293,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.12727272727272726,0.2727272727272727,PROVISIONAL_SMALL_REQUEST_N,0.19444444444444445,0.32608695652173914
10,f10-d26d41688df1,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,1,220,47,47,0,0,6,2,0,165,22,47,47,55,,0.4,0.1,0.46808510638297873,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.32727272727272727,0.4909090909090909,PROVISIONAL_SMALL_REQUEST_N,0.3673469387755102,0.5777777777777777
20,f20-4d6b0c6066ee,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,0,220,48,39,9,5,5,0,0,162,14,48,48,55,,0.2545454545454545,0.06363636363636363,0.358974358974359,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.10909090909090909,0.4,PROVISIONAL_SMALL_REQUEST_N,0.17142857142857143,0.5263157894736842
6,f6-ba844c981dd6,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,1,220,45,45,0,0,3,7,0,165,21,45,45,55,,0.38181818181818183,0.09545454545454546,0.4666666666666667,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.2909090909090909,0.4727272727272727,PROVISIONAL_SMALL_REQUEST_N,0.3617021276595745,0.6086956521739131
7,f7-d0ffa9b31525,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,1,220,46,46,0,0,4,5,0,165,20,46,46,55,,0.36363636363636365,0.09090909090909091,0.43478260869565216,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.3090909090909091,0.41818181818181815,PROVISIONAL_SMALL_REQUEST_N,0.34615384615384615,0.525
8,f8-dc2e68a2a478,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,0,220,40,40,0,35,6,6,0,133,26,40,40,55,,0.4727272727272727,0.11818181818181818,0.65,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.38181818181818183,0.5636363636363636,PROVISIONAL_SMALL_REQUEST_N,0.5333333333333333,0.8
9,f9-0cd8cd2dd857,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,2,220,49,49,0,0,3,3,0,165,34,49,49,55,,0.6181818181818182,0.15454545454545454,0.6938775510204082,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.5454545454545454,0.709545454545452,PROVISIONAL_SMALL_REQUEST_N,0.6326530612244898,0.7659574468085106
11,f11-07165966aa39,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,1,220,50,48,2,0,5,0,0,165,27,50,50,55,,0.4909090909090909,0.12272727272727273,0.5625,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.38181818181818183,0.5818181818181818,PROVISIONAL_SMALL_REQUEST_N,0.46511627906976744,0.6530612244897959
12,f12-bbbcad303b3e,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,20,5,0,220,47,47,0,3,7,0,0,163,31,47,47,55,,0.5636363636363636,0.1409090909090909,0.6595744680851063,NOT_ESTIMABLE,,,PROVISIONAL_SMALL_REQUEST_N,0.4909090909090909,0.6545454545454545,PROVISIONAL_SMALL_REQUEST_N,0.6041666666666666,0.7291666666666666
