frequency_ghz,model_id,dataset_scope,target_source,label_mode,protocol_sha256,request_id,dispatch_order,status,q_proxy,q_emx,full11_gate,selection_loss,selected_joint_hit,N_original,N_solved,N_strict_valid,N_invalid,N_analytic_fail,N_gds_fail,N_drc_fail,N_emx_not_solved,N_pending,N_joint_hit,N_independent_solves,N_unique_s4p_sha,N_accounted_candidates,joint_hit_fraction_original,joint_hit_fraction_accounted_original,confirmed_joint_hit_coverage_original,joint_hit_fraction_strict,joint_hit_original_ci_status,joint_hit_original_ci_low,joint_hit_original_ci_high,joint_hit_accounted_original_ci_status,joint_hit_accounted_original_ci_low,joint_hit_accounted_original_ci_high,joint_hit_strict_ci_status,joint_hit_strict_ci_low,joint_hit_strict_ci_high
15,f15-5a9547401a37,DEVELOPMENT_5K_NOT_FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,qscan15_development5k_20260908_v1-HELDOUT_TRIPLE_AUDIT-000000,0,ACCOUNTED,14,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,9,9,0,2,0,0,0,0,5,9,9,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5555555555555556,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
5,f5-fac1f3ff42e4,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f05_qscan-HELDOUT_TRIPLE_AUDIT-000000,1,ACCOUNTED,10,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,8,8,0,0,0,3,0,0,3,8,8,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.375,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
10,f10-d26d41688df1,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f10_qscan-HELDOUT_TRIPLE_AUDIT-000000,2,ACCOUNTED,10,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,9,9,0,0,1,1,0,0,4,9,9,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.4444444444444444,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
20,f20-4d6b0c6066ee,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f20_qscan-HELDOUT_TRIPLE_AUDIT-000000,3,ACCOUNTED,15,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,10,10,0,0,1,0,0,0,4,10,10,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.4,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
6,f6-ba844c981dd6,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f06_qscan-HELDOUT_TRIPLE_AUDIT-000000,4,ACCOUNTED,11,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,8,8,0,0,0,3,0,0,6,8,8,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.75,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
7,f7-d0ffa9b31525,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f07_qscan-HELDOUT_TRIPLE_AUDIT-000000,5,ACCOUNTED,11,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,7,7,0,0,3,1,0,0,4,7,7,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5714285714285714,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
8,f8-dc2e68a2a478,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f08_qscan-HELDOUT_TRIPLE_AUDIT-000000,6,ACCOUNTED,10,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,9,9,0,0,0,2,0,0,5,9,9,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5555555555555556,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
9,f9-0cd8cd2dd857,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f09_qscan-HELDOUT_TRIPLE_AUDIT-000000,7,ACCOUNTED,15,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,8,8,0,0,1,2,0,0,6,8,8,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.75,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
11,f11-07165966aa39,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f11_qscan-HELDOUT_TRIPLE_AUDIT-000000,8,ACCOUNTED,11,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,9,9,0,0,2,0,0,0,6,9,9,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6666666666666666,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
12,f12-bbbcad303b3e,FORMAL_10K,HELDOUT_TRIPLE_AUDIT,STRICT_LUMPED,f12d43eace12231077007dc497fee8dad00fbe58cb2f1fe2c6159c47636b97a0,f12_qscan-HELDOUT_TRIPLE_AUDIT-000000,9,ACCOUNTED,11,,NOT_AVAILABLE_INCOMPLETE_OR_INVALID,,True,11,10,10,0,0,1,0,0,0,6,10,10,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,,NOT_ESTIMABLE,,
