frequency_ghz,eligible_train_n,q_train_min,q_train_max,below_window_n,above_or_equal_window_n,window_n,bins_plus_tails_n
5,6015,5.173637362199892,12.461568573394104,3894,0,2121,6015
6,6015,6.062610195466357,13.906244358282988,2094,0,3921,6015
7,6015,6.903879084973701,15.118777789806,1034,0,4981,6015
8,6014,7.6907609446412595,16.14920308513192,355,0,5659,6014
9,5997,8.417981948868972,16.936852482468375,73,0,5924,5997
10,5933,9.08143648631459,17.496748319100064,9,0,5924,5933
11,5793,9.40329661200214,17.84378208797154,1,0,5792,5793
12,5486,9.082813856423062,17.927074948561426,6,0,5480,5486
13,4937,8.8767396641845,18.530457525053173,12,0,4925,4937
14,4107,9.178576747562788,18.70891860822065,6,0,4101,4107
15,3175,9.449956523904012,18.769211533120213,2,0,3173,3175
16,2225,9.670060750957202,18.94373868777894,0,0,2225,2225
17,1420,10.089848901155069,19.18918654343283,0,0,1420,1420
18,886,10.514387590915964,19.244183743173476,0,0,886,886
19,537,10.749770826485141,19.300420214668097,0,0,537,537
20,279,11.720847875504889,19.274953856999353,0,0,279,279
