frequency_ghz,q,eligible_train_n,neighborhood_lower_inclusive,neighborhood_upper_exclusive,local_train_n,fraction_of_eligible_train,count_status,nominal_q_in_marginal_range,q_train_min,q_train_max,below_window_n,above_or_equal_window_n
5,10,6015,9.5,10.5,1340,0.2227763923524522,COUNT_ONLY,True,5.173637362199892,12.461568573394104,3894,0
5,11,6015,10.5,11.5,681,0.11321695760598503,COUNT_ONLY,True,5.173637362199892,12.461568573394104,3894,0
5,12,6015,11.5,12.5,100,0.01662510390689942,COUNT_ONLY,True,5.173637362199892,12.461568573394104,3894,0
5,13,6015,12.5,13.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,14,6015,13.5,14.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,15,6015,14.5,15.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,16,6015,15.5,16.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,17,6015,16.5,17.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,18,6015,17.5,18.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,19,6015,18.5,19.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
5,20,6015,19.5,20.5,0,0.0,EMPTY,False,5.173637362199892,12.461568573394104,3894,0
6,10,6015,9.5,10.5,1536,0.25536159600997504,COUNT_ONLY,True,6.062610195466357,13.906244358282988,2094,0
6,11,6015,10.5,11.5,1327,0.22061512884455528,COUNT_ONLY,True,6.062610195466357,13.906244358282988,2094,0
6,12,6015,11.5,12.5,838,0.13931837073981712,COUNT_ONLY,True,6.062610195466357,13.906244358282988,2094,0
6,13,6015,12.5,13.5,211,0.03507896924355777,COUNT_ONLY,True,6.062610195466357,13.906244358282988,2094,0
6,14,6015,13.5,14.5,9,0.0014962593516209476,COUNT_ONLY,False,6.062610195466357,13.906244358282988,2094,0
6,15,6015,14.5,15.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
6,16,6015,15.5,16.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
6,17,6015,16.5,17.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
6,18,6015,17.5,18.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
6,19,6015,18.5,19.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
6,20,6015,19.5,20.5,0,0.0,EMPTY,False,6.062610195466357,13.906244358282988,2094,0
7,10,6015,9.5,10.5,1143,0.19002493765586034,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,11,6015,10.5,11.5,1510,0.2510390689941812,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,12,6015,11.5,12.5,1298,0.21579384871155444,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,13,6015,12.5,13.5,809,0.1344970906068163,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,14,6015,13.5,14.5,212,0.03524522028262676,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,15,6015,14.5,15.5,9,0.0014962593516209476,COUNT_ONLY,True,6.903879084973701,15.118777789806,1034,0
7,16,6015,15.5,16.5,0,0.0,EMPTY,False,6.903879084973701,15.118777789806,1034,0
7,17,6015,16.5,17.5,0,0.0,EMPTY,False,6.903879084973701,15.118777789806,1034,0
7,18,6015,17.5,18.5,0,0.0,EMPTY,False,6.903879084973701,15.118777789806,1034,0
