"source_row_index","evaluation","raw_geometry_identity_sha256","production_geometry_fingerprint_sha256","gds_sha256","s4p_sha256","Lp_nH","Ls_nH","Qp","Qs","Qmin","K_abs","K_signed","conditional_strict","core_range","half_srf_pass","off_grid_vertices","noncanonical_edges","current_qualified","evidence_class"
0,"widthfix_000000__000000__shard_000__05dc9a57625e475a","8019badced43290afed374014b763b7ba6fce12739f685a95d94ac311b47472a","41e3fdbdef9f6c992af3b3c1a6af21d5a31af892a66e3ce0f5547ba4974b0794","1f73a79b3a11de14b02fbc669b8a1bffaf74d0227cebefff2012a342f6ea5469","1184171a5ef152113aadc0b0f576f070138a469e349457ec9b57d276a0d0ab52",1.9277270018240973,1.651014633130072,12.090090401695445,11.549826304321575,11.549826304321575,0.3362567272409146,0.3362567272409146,false,true,false,280,2,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
1,"widthfix_000002__000002__shard_000__18cba1ee585db381","68f61d0420aafa130066c95ec49d977dd5ab9219b3d0cef9dafec611f9518600","ccc8dfd694f1e565e3e3fde66dcfd3a1a905014df02701dd47d29184eacecfc2","e292b0beafd5e2fd726423cc048636508c4d33cb1f470e7fddd30b018ef34849","5fff5ee6f073b61ed29cb1b299154dcf1602952e4350f8b94a5951c6d7bddfef",1.8651530280423745,2.355246149642171,10.324858478197118,6.964208466443884,6.964208466443884,0.46045857639535104,0.46045857639535104,false,false,false,280,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
2,"widthfix_000005__000005__shard_000__1cd7332f3266a8df","a32039154e88105cc688e790f4df6c9185a08d589c77a00b2c1111e71960d965","cf825cfdfaba1841e0e792f19a08e29e5d42eea52654480ebe194a2c53706472","e292b0beafd5e2fd726423cc048636508c4d33cb1f470e7fddd30b018ef34849","15b3edb9883f14eeba6d6904285c68f0eb761b6a2243d365d0c007478baa1942",1.7600192563165373,1.6778185371003245,12.884247250446453,11.742858362440627,11.742858362440627,0.38299750466145294,0.38299750466145294,false,true,false,280,2,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
3,"widthfix_000006__000006__shard_000__1f6e24e0b55b490b","b7e3a666e23d8bf4b993ccce37c5a5d0235e5a807e17cdc75ece337988ba8e38","6f58298e643ca0c11fc61895a9c9c2db7f1e99afa3790f58fe7a5e592d4e9c94","e292b0beafd5e2fd726423cc048636508c4d33cb1f470e7fddd30b018ef34849","68a3742a22dccba884064e96e3ba2ebf7b041e48ef2d80585283dea99f84d436",1.2570572057627596,2.150132902458338,15.47090272189542,8.309226204384032,8.309226204384032,0.3681262125915277,0.3681262125915277,false,false,false,260,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
4,"widthfix_000010__000010__shard_000__251d65dee145c4ac","b5103a8eaf340c24d1c0b97e17cca3a3631353f1a57859747e4142c033c60438","d4ae82ab6d5180816ccc34d13f5e40ef9acb0b99d60817d728cc93d600657553","1f73a79b3a11de14b02fbc669b8a1bffaf74d0227cebefff2012a342f6ea5469","2dfccb91b75f000e5c3e306afe997399ef4e76579c68a7172b8ec6824e4b5ce9",2.0648746483445906,2.2698210199804225,11.279054490475318,9.259625926271008,9.259625926271008,0.5113333689942214,0.5113333689942214,false,false,false,282,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
5,"widthfix_000011__000011__shard_000__32aabc93bd5284f8","27d376b8bf7c81f2d5ab9cdd844770d24af6095c808682683749a3bb248aacdb","602d296e832479c8704c498a13c8ee86e4290df16f63fd9f5a5b2ca583827334","2efd70c9800008d7aa067a0a25fdb82461cee16a8b6de11678bc7808368a9433","4f224d0948a51222d3dadf3a0e9f75cf6a73ddd681aa8c833291938327bc1820",1.8185736083266189,1.8656277787238695,12.366169627262737,9.97162699036346,9.97162699036346,0.49783670551182085,0.49783670551182085,false,true,false,282,10,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
6,"widthfix_000013__000013__shard_000__3968b256f79ff1b3","795454bf43e9591157ac9373046492a2e0b28419d7df519f063ed3f257645493","8016903993ff0f1f427edc0539c1ee21800242a1dde9a64689c027c6b7feb87d","2efd70c9800008d7aa067a0a25fdb82461cee16a8b6de11678bc7808368a9433","69e520b9bf7e509f9ce1ec0886331446914a0488e04a8a4acbe25b70a9fceac2",2.5313007683566107,2.345359068392826,9.13378534179744,9.371711516551432,9.13378534179744,0.5990329882440499,0.5990329882440499,false,false,false,282,12,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
7,"widthfix_000014__000014__shard_000__39cc522d30e9c2da","e6b9086c1de3d93c7be414d69fa662b55a444325a7bb27d8078ba7f81ae9187d","c91b554501eab0e4a40c1cf5d1cc4915c23f29a8944446d26bb3daff22afcab8","e1772ff8ff3bbbdfaa1651d04777f755dab1adfc14900bdd8529339d1ef8138f","a75ff37e35f51b20ce4c9de88fc270933531ddb53a39bdd10d3eeb0d48d2dc81",1.7585935943262183,2.224208405931989,12.771728691400348,9.311866450694827,9.311866450694827,0.44238047198762104,0.44238047198762104,false,false,false,282,0,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
8,"widthfix_000017__000017__shard_000__52f64a605770f0e5","2dbd733e6ac4e4fa46f92f0ecbc1e7c2ce1015a85e0afcd4dd8e27539d63993b","b022b15623fe97b3a1746f11f748ff36884715048a61eeccb71f51ff4a02454a","1f73a79b3a11de14b02fbc669b8a1bffaf74d0227cebefff2012a342f6ea5469","a87b2ecf206788242226684524d7fa080dea7ef26d497ab019167e6f5abbfd65",2.400566132237974,2.225910088488787,10.166211744070255,10.316333641556009,10.166211744070255,0.4829565264483423,0.4829565264483423,false,false,false,280,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
9,"widthfix_000018__000018__shard_000__547dc126e556127d","5eda7bc51cf75c55cf2bff830e1360998ab58c535de78479daaf8823d2dc169f","e29b4501b24bb840f827422436e45d9c979ce0c06af36613ce873b00237bbe8e","e292b0beafd5e2fd726423cc048636508c4d33cb1f470e7fddd30b018ef34849","5b2c6f4170587ec2940eee012eb9dfba249cff4632866b61d5fef4eccb742a66",1.9379259781868527,1.7669695673571717,12.675910407646859,13.177426679982087,12.675910407646859,0.3446423278997258,0.3446423278997258,false,true,false,268,6,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
